seed,fold,encoder_route,feature_set,task,n_train,n_validation,positive_train,positive_validation,auroc,average_precision,balanced_accuracy,f1
20260521,2,jnu_to_ctu,encoder_embedding,any_deceleration_late,257,129,55,19,0.5172248803827751,0.1952784245913599,0.5014354066985646,0.2191780821917808
20260521,2,jnu_to_ctu,classical_signal,any_deceleration_late,257,129,55,19,0.6435406698564594,0.3127432378635042,0.5858851674641148,0.29411764705882354
20260521,2,jnu_to_ctu,encoder_embedding,any_deceleration_variable,257,129,131,65,0.6254807692307692,0.6161905936551031,0.5650240384615385,0.6111111111111112
20260521,2,jnu_to_ctu,classical_signal,any_deceleration_variable,257,129,131,65,0.6757211538461538,0.6687568527265245,0.6201923076923077,0.6201550387596899
20260521,2,jnu_to_ctu,encoder_embedding,any_deceleration_prolonged,257,129,13,6,0.6612466124661247,0.25481001509130785,0.6361788617886179,0.16216216216216217
20260521,2,jnu_to_ctu,classical_signal,any_deceleration_prolonged,257,129,13,6,0.8672086720867209,0.4993311931514179,0.8191056910569106,0.2857142857142857
20260521,3,random,encoder_embedding,any_tachycardia,258,128,25,4,0.32056451612903225,0.02727106227106227,0.3588709677419355,0.0
20260521,3,random,classical_signal,any_tachycardia,258,128,25,4,0.9778225806451613,0.7269230769230769,0.9435483870967742,0.36363636363636365
20260521,3,random,encoder_embedding,any_acceleration,258,128,123,64,0.661865234375,0.6776664105023082,0.59375,0.5806451612903226
20260521,3,random,classical_signal,any_acceleration,258,128,123,64,0.634521484375,0.6464284103955489,0.5859375,0.5954198473282443
20260521,3,random,encoder_embedding,any_deceleration,258,128,189,95,0.6743221690590112,0.8280713924332493,0.643859649122807,0.7151515151515152
20260521,3,random,classical_signal,any_deceleration,258,128,189,95,0.6771929824561405,0.8444620842315833,0.6491228070175439,0.7228915662650602
20260521,3,random,encoder_embedding,any_deceleration_early,258,128,127,61,0.5894298996819183,0.5830661072562726,0.5622706141424028,0.5483870967741935
20260521,3,random,classical_signal,any_deceleration_early,258,128,127,61,0.7132370932224125,0.7030998189479588,0.6800831906043553,0.672
20260521,3,random,encoder_embedding,any_deceleration_late,258,128,45,29,0.5914315569487983,0.265797879330937,0.5128874956461164,0.29333333333333333
20260521,3,random,classical_signal,any_deceleration_late,258,128,45,29,0.6687565308254964,0.31342913740255945,0.6600487634970393,0.4666666666666667
20260521,3,random,encoder_embedding,any_deceleration_variable,258,128,130,66,0.6295210166177908,0.6513319905328584,0.5943304007820137,0.59375
20260521,3,random,classical_signal,any_deceleration_variable,258,128,130,66,0.6991691104594331,0.6977654753402658,0.6236559139784946,0.6470588235294118
