seed,fold,encoder_route,input_variant,evaluation_set,auprc,auroc,brier,ece,calibration_intercept,calibration_slope,n_train,n_validation,events_train,events_validation,n_predictors,events_per_predictor
20260522,1,ctu_only,uc_only,development_sensitivity,0.31917098776772623,0.6136528685548294,0.2280091041858467,0.203781735293038,-1.2121589014797403,0.3523386595728645,257,129,52,27,15,3.466666666666667
20260522,1,ctu_only,one_hz,development_sensitivity,0.34762084734983534,0.6347131445170661,0.22318770279884048,0.2248587452533325,-1.1749839897354848,0.3713589783348612,257,129,52,27,15,3.466666666666667
20260522,1,jnu_to_ctu,fhr_only,development_sensitivity,0.28215084060429096,0.5646332607116921,0.2520884843835225,0.26223479423896595,-1.246544738615106,0.12231348238482759,257,129,52,27,15,3.466666666666667
20260522,1,jnu_to_ctu,uc_only,development_sensitivity,0.3445335730947079,0.5933188090050835,0.2252429766390761,0.20065812812388314,-1.2078813421988952,0.3121011567342081,257,129,52,27,15,3.466666666666667
20260522,1,jnu_to_ctu,one_hz,development_sensitivity,0.30492080443510594,0.6401597676107481,0.2295832777519954,0.20354395702715522,-1.2111586700096038,0.3571746246776636,257,129,52,27,15,3.466666666666667
20260522,2,random,full,development_oof,0.5414747148707951,0.7636295743091859,0.18898976774144594,0.23086820111157508,-1.356514382744731,1.032333431723803,257,129,53,26,15,3.533333333333333
20260522,2,jnu_only,full,development_oof,0.5148987234328597,0.7498132935026138,0.19485908205903862,0.23371102454716547,-1.3276936825586767,0.9388419301573249,257,129,53,26,15,3.533333333333333
20260522,2,jnu_asymmetric,full,development_oof,0.5689289382538127,0.7427184466019418,0.1942262339626662,0.23770750045561026,-1.3619149859792763,1.1414350230970736,257,129,53,26,15,3.533333333333333
20260522,2,ctu_only,full,development_oof,0.5873478403989408,0.799477221807319,0.1847228522843167,0.23434402834752546,-1.4139567200673262,1.15285738399013,257,129,53,26,15,3.533333333333333
20260522,2,jnu_to_ctu,full,development_oof,0.5420013897291569,0.7654966392830469,0.1858961342490505,0.22448099585933645,-1.305478233784982,0.980672701007294,257,129,53,26,15,3.533333333333333
20260522,2,ctu_only,fhr_only,development_sensitivity,0.5499651570022261,0.7793129200896192,0.18661598278592972,0.229649763941155,-1.4028590829278789,1.0415576397170887,257,129,53,26,15,3.533333333333333
20260522,2,ctu_only,uc_only,development_sensitivity,0.5140835554291648,0.7520537714712472,0.18592830745902805,0.2119067808414238,-1.2625964276575767,0.9098075817528458,257,129,53,26,15,3.533333333333333
20260522,2,ctu_only,one_hz,development_sensitivity,0.5878608558411749,0.7983569828230022,0.18537263406311083,0.2340170424245745,-1.4087818488012178,1.1360895482339353,257,129,53,26,15,3.533333333333333
20260522,2,jnu_to_ctu,fhr_only,development_sensitivity,0.5565396186010795,0.7864077669902911,0.1829837634653661,0.21809177564273222,-1.3258103489157185,1.0504182217817764,257,129,53,26,15,3.533333333333333
20260522,2,jnu_to_ctu,uc_only,development_sensitivity,0.5552747222802528,0.7240477968633309,0.19355025950473548,0.2379359645901872,-1.2878869532215163,0.9510305991787883,257,129,53,26,15,3.533333333333333
20260522,2,jnu_to_ctu,one_hz,development_sensitivity,0.5362846971961861,0.768857356235997,0.18569603155199998,0.24063784119029574,-1.3179619758048067,0.986407734742318,257,129,53,26,15,3.533333333333333
20260522,3,random,full,development_oof,0.2802348604132825,0.6184012066365008,0.23952750527924313,0.2510387475773999,-1.3260565545019718,0.4143751536725341,258,128,53,26,15,3.533333333333333
