seed,route,task,n,positives,auprc,auroc,balanced_accuracy,f1
20260522,random,any_deceleration_late,386,74,0.19401210823402373,0.5060637560637561,0.5061503811503811,0.2559241706161137
20260522,random,any_deceleration_prolonged,386,19,0.04745026389212654,0.4584827190592285,0.4894593431808404,0.07407407407407407
20260522,random,any_deceleration_variable,386,196,0.6600980121877827,0.6467239527389903,0.5978249194414608,0.6172839506172839
20260522,random,any_tachycardia,386,29,0.15587384944733013,0.6579735342412828,0.579445571331981,0.18181818181818182
20260523,classical_signal,any_acceleration,386,187,0.6144206067281602,0.6450971434713675,0.6051917340714266,0.5846994535519126
20260523,classical_signal,any_deceleration,386,284,0.8533293036667204,0.7074012703673018,0.6639395194697597,0.7370517928286853
20260523,classical_signal,any_deceleration_early,386,188,0.7072864246864056,0.7364603481624759,0.6812003008811519,0.6737400530503979
20260523,classical_signal,any_deceleration_late,386,74,0.2813288954343057,0.6512040887040887,0.6336191961191961,0.3983402489626556
20260523,classical_signal,any_deceleration_prolonged,386,19,0.16302379194712885,0.7630861895884125,0.7095224437114585,0.22018348623853212
20260523,classical_signal,any_deceleration_variable,386,196,0.6706815592650817,0.6890440386680989,0.6342642320085929,0.6483790523690773
20260523,classical_signal,any_tachycardia,386,29,0.6759571823957076,0.9575002414759007,0.9239350912778905,0.5656565656565656
20260523,ctu_only,any_acceleration,386,187,0.6786213578806137,0.6909413377045657,0.6253594174078951,0.629156010230179
20260523,ctu_only,any_deceleration,386,284,0.8622750349132027,0.7111295222314278,0.659175642087821,0.7624521072796935
20260523,ctu_only,any_deceleration_early,386,188,0.6665896512225787,0.675478186116484,0.6247044917257684,0.6233766233766234
20260523,ctu_only,any_deceleration_late,386,74,0.20712011745244696,0.5220460845460846,0.5052408177408177,0.26126126126126126
20260523,ctu_only,any_deceleration_prolonged,386,19,0.07600374666799456,0.529901046895167,0.45726373153592426,0.04395604395604396
20260523,ctu_only,any_deceleration_variable,386,196,0.6224694687185511,0.6385069817400644,0.6316326530612244,0.6467661691542289
20260523,ctu_only,any_tachycardia,386,29,0.18733298528067724,0.6790302327827682,0.6260987153482083,0.23214285714285715
20260523,jnu_asymmetric,any_acceleration,386,187,0.5650691652049198,0.590277591164378,0.5566468707172225,0.544
20260523,jnu_asymmetric,any_deceleration,386,284,0.8514223175163516,0.6760908588787629,0.6466100524716929,0.7660377358490567
20260523,jnu_asymmetric,any_deceleration_early,386,188,0.6381836552792445,0.654201590371803,0.5990490006447453,0.6015424164524421
20260523,jnu_asymmetric,any_deceleration_late,386,74,0.19372090823271115,0.5011694386694387,0.49917706167706166,0.2597402597402597
20260523,jnu_asymmetric,any_deceleration_prolonged,386,19,0.06003755460228205,0.4452889717481715,0.45496916678617527,0.05309734513274336
20260523,jnu_asymmetric,any_deceleration_variable,386,196,0.5999658252579323,0.6056928034371644,0.5570891514500537,0.5581395348837209
20260523,jnu_asymmetric,any_tachycardia,386,29,0.1670796234004604,0.6622235100936926,0.6064908722109533,0.20634920634920634
20260523,jnu_only,any_acceleration,386,187,0.6409278167198111,0.6767258753661356,0.6118291994733023,0.609375
20260523,jnu_only,any_deceleration,386,284,0.891436981513491,0.779170118751726,0.7258008837337753,0.8007662835249042
20260523,jnu_only,any_deceleration_early,386,188,0.7039883423304087,0.726117558564367,0.6813346228239845,0.6754617414248021
20260523,jnu_only,any_deceleration_late,386,74,0.24987472685275158,0.5766632016632016,0.5676541926541927,0.33043478260869563
20260523,jnu_only,any_deceleration_prolonged,386,19,0.1313134090020978,0.5641761078445432,0.5443854868779578,0.11363636363636363
20260523,jnu_only,any_deceleration_variable,386,196,0.7457776480361644,0.7310687432867884,0.6732545649838884,0.6834170854271356
20260523,jnu_only,any_tachycardia,386,29,0.2454940993567026,0.6794165942238964,0.6675842750893461,0.27522935779816515
20260523,jnu_to_ctu,any_acceleration,386,187,0.6737477256534918,0.6836858087227581,0.6113454975411818,0.6031746031746031
20260523,jnu_to_ctu,any_deceleration,386,284,0.8860061483345641,0.7514498757249379,0.689346865506766,0.7824427480916031
20260523,jnu_to_ctu,any_deceleration_early,386,188,0.6960553998206351,0.710401891252955,0.6597893831936386,0.6430517711171662
20260523,jnu_to_ctu,any_deceleration_late,386,74,0.277401211410671,0.6123094248094249,0.5849358974358974,0.34579439252336447
20260523,jnu_to_ctu,any_deceleration_prolonged,386,19,0.09745016392967877,0.5706295712032123,0.573426071991969,0.13793103448275862
20260523,jnu_to_ctu,any_deceleration_variable,386,196,0.7395017431841087,0.7305048335123523,0.6813104189044039,0.6854219948849105
20260523,jnu_to_ctu,any_tachycardia,386,29,0.24207490649196056,0.6988312566405872,0.7151067323481117,0.3130434782608696
20260523,random,any_acceleration,386,187,0.6725761697062267,0.7086233305565259,0.6561551070862333,0.6563307493540051
20260523,random,any_deceleration,386,284,0.8593391003896436,0.7282863849765259,0.6634562275614471,0.7781954887218046
20260523,random,any_deceleration_early,386,188,0.6295886683580523,0.660649043627767,0.6220449172576832,0.6197916666666666
20260523,random,any_deceleration_late,386,74,0.18977210150520926,0.511651074151074,0.49298336798336795,0.24299065420560748
20260523,random,any_deceleration_prolonged,386,19,0.10364936795541566,0.4408432525455328,0.4949089344614943,0.07692307692307693
20260523,random,any_deceleration_variable,386,196,0.6296555816497946,0.6401181525241676,0.6006176154672396,0.615
20260523,random,any_tachycardia,386,29,0.19264063270390863,0.6968994494349463,0.6507775524002705,0.24793388429752067
20260524,classical_signal,any_acceleration,386,187,0.6144206067281602,0.6450971434713675,0.6051917340714266,0.5846994535519126
20260524,classical_signal,any_deceleration,386,284,0.8533293036667204,0.7074012703673018,0.6639395194697597,0.7370517928286853
20260524,classical_signal,any_deceleration_early,386,188,0.7072864246864056,0.7364603481624759,0.6812003008811519,0.6737400530503979
20260524,classical_signal,any_deceleration_late,386,74,0.2813288954343057,0.6512040887040887,0.6336191961191961,0.3983402489626556
20260524,classical_signal,any_deceleration_prolonged,386,19,0.16302379194712885,0.7630861895884125,0.7095224437114585,0.22018348623853212
20260524,classical_signal,any_deceleration_variable,386,196,0.6706815592650817,0.6890440386680989,0.6342642320085929,0.6483790523690773
20260524,classical_signal,any_tachycardia,386,29,0.6759571823957076,0.9575002414759007,0.9239350912778905,0.5656565656565656
20260524,ctu_only,any_acceleration,386,187,0.638991779380218,0.6601725203557897,0.6017789482170208,0.6030927835051546
20260524,ctu_only,any_deceleration,386,284,0.8855492140995289,0.7459610604805301,0.681924882629108,0.7674418604651163
20260524,ctu_only,any_deceleration_early,386,188,0.6440146008599122,0.672200730711369,0.6286804212336128,0.6103542234332425
20260524,ctu_only,any_deceleration_late,386,74,0.24560363872816388,0.5890939015939016,0.5425762300762301,0.30434782608695654
20260524,ctu_only,any_deceleration_prolonged,386,19,0.057263905512721175,0.5139825039437832,0.5062383479133802,0.08620689655172414
20260524,ctu_only,any_deceleration_variable,386,196,0.6659026955417476,0.6626208378088077,0.6316326530612244,0.6467661691542289
20260524,ctu_only,any_tachycardia,386,29,0.230716406873945,0.707138027624843,0.700666473485946,0.30357142857142855
20260524,jnu_asymmetric,any_acceleration,386,187,0.5643545054409465,0.6110499019159971,0.5807110418402172,0.578125
20260524,jnu_asymmetric,any_deceleration,386,284,0.8051984770588259,0.6144366197183099,0.5757042253521127,0.7115384615384616
20260524,jnu_asymmetric,any_deceleration_early,386,188,0.5670703348464159,0.5961207822909951,0.5715130023640662,0.547945205479452
20260524,jnu_asymmetric,any_deceleration_late,386,74,0.19372748751090285,0.49008142758142753,0.48761261261261263,0.24892703862660945
20260524,jnu_asymmetric,any_deceleration_prolonged,386,19,0.1609617291751984,0.5255987379893876,0.5116879391940341,0.08928571428571429
20260524,jnu_asymmetric,any_deceleration_variable,386,196,0.6008894757598893,0.5990870032223415,0.5980665950590762,0.6115288220551378
20260524,jnu_asymmetric,any_tachycardia,386,29,0.13226412517399905,0.636723654979233,0.5776103544866222,0.18333333333333332
20260524,jnu_only,any_acceleration,386,187,0.6385584398223254,0.6684760701905248,0.6247144814984011,0.6214099216710183
20260524,jnu_only,any_deceleration,386,284,0.8884944708663005,0.7524164595415631,0.6985294117647058,0.799249530956848
20260524,jnu_only,any_deceleration_early,386,188,0.7165442732293633,0.7078229099505695,0.6290833870621104,0.6166219839142091
20260524,jnu_only,any_deceleration_late,386,74,0.248300382968707,0.6126559251559253,0.5482934857934858,0.3055555555555556
20260524,jnu_only,any_deceleration_prolonged,386,19,0.09365889734130092,0.5489746163774559,0.5416606912376308,0.1111111111111111
20260524,jnu_only,any_deceleration_variable,386,196,0.691776441124994,0.7030612244897959,0.6609022556390978,0.6579634464751958
20260524,jnu_only,any_tachycardia,386,29,0.25941177414524486,0.722882256350816,0.7053028107794842,0.29508196721311475
20260524,jnu_to_ctu,any_acceleration,386,187,0.6500851512624424,0.66710558138285,0.6303845430360357,0.6323907455012854
20260524,jnu_to_ctu,any_deceleration,386,284,0.8954013586982625,0.7599420049710026,0.6883457608395471,0.7909604519774012
20260524,jnu_to_ctu,any_deceleration_early,386,188,0.7138274329046328,0.7110466365785514,0.6324145712443585,0.6302083333333334
20260524,jnu_to_ctu,any_deceleration_late,386,74,0.2720055108810131,0.6274255024255024,0.5776160776160776,0.3406113537117904
20260524,jnu_to_ctu,any_deceleration_prolonged,386,19,0.0685947713784321,0.5833930876236915,0.5375734977771404,0.10752688172043011
20260524,jnu_to_ctu,any_deceleration_variable,386,196,0.7174987281446972,0.7168635875402792,0.6813909774436091,0.6838046272493573
20260524,jnu_to_ctu,any_tachycardia,386,29,0.2136793022751827,0.7057857625808944,0.660581473968898,0.2631578947368421
20260524,random,any_acceleration,386,187,0.5898268838114906,0.6386746567059898,0.6024238841265149,0.6111111111111112
20260524,random,any_deceleration,386,284,0.8487457818801574,0.7025683512841756,0.6564139740403203,0.7689393939393939
20260524,random,any_deceleration_early,386,188,0.6373310277376331,0.6571029443369868,0.6007683215130024,0.5904255319148937
20260524,random,any_deceleration_late,386,74,0.20317684103882883,0.51004851004851,0.5207033957033957,0.2807017543859649
20260524,random,any_deceleration_prolonged,386,19,0.045125575923820674,0.42621540226588267,0.4604187580668292,0.05504587155963303
20260524,random,any_deceleration_variable,386,196,0.6593081692207062,0.6551020408163264,0.6186358754027927,0.6352357320099256
20260524,random,any_tachycardia,386,29,0.17823493294819662,0.6905244856563315,0.6046556553655945,0.21052631578947367
20260525,classical_signal,any_acceleration,386,187,0.6144206067281602,0.6450971434713675,0.6051917340714266,0.5846994535519126
20260525,classical_signal,any_deceleration,386,284,0.8533293036667204,0.7074012703673018,0.6639395194697597,0.7370517928286853
