model,calibration,threshold,model_net_benefit,treat_all_net_benefit,treat_none_net_benefit
signal_10_plus_ssl_pca5,isotonic,0.14,0.0488932474082376,0.07537125245166712,0.0
signal_10_plus_ssl_pca5,isotonic,0.15000000000000002,0.04287739192062366,0.06449326718639259,0.0
signal_10_plus_ssl_pca5,isotonic,0.16,0.03671830177854274,0.05335628227194489,0.0
signal_10_plus_ssl_pca5,isotonic,0.16999999999999998,0.028233415590071143,0.041950936275221395,0.0
signal_10_plus_ssl_pca5,isotonic,0.18,0.041580957978254486,0.03026741110784603,0.0
signal_10_plus_ssl_pca5,isotonic,0.19,0.03740889483861372,0.018295403837572527,0.0
signal_10_plus_ssl_pca5,isotonic,0.2,0.03313253012048192,0.00602409638554216,0.0
signal_10_plus_ssl_pca5,isotonic,0.21000000000000002,0.028747903004422745,-0.006557877077932012,0.0
signal_10_plus_ssl_pca5,isotonic,0.22000000000000003,0.02425084955205435,-0.019462465245597832,0.0
signal_10_plus_ssl_pca5,isotonic,0.22999999999999998,0.019636989516507594,-0.03270223752151463,0.0
signal_10_plus_ssl_pca5,isotonic,0.24,0.01807228915662651,-0.04629042485732404,0.0
signal_10_plus_ssl_pca5,isotonic,0.25,0.014056224899598402,-0.06024096385542166,0.0
signal_10_plus_ssl_pca5,isotonic,0.26,0.009931618365353306,-0.07456854444806255,0.0
signal_10_plus_ssl_pca5,isotonic,0.27,0.00569400891236177,-0.0892886614952963,0.0
signal_10_plus_ssl_pca5,isotonic,0.28,-0.003681392235609121,-0.104417670682731,0.0
signal_10_plus_ssl_pca5,isotonic,0.29,-0.007805871372815215,-0.11997284914305112,0.0
signal_10_plus_ssl_pca5,isotonic,0.3,-0.012048192771084348,-0.13597246127366613,0.0
signal_10_plus_ssl_pca5,isotonic,0.31,-0.016413480006984477,-0.1524358302776323,0.0
signal_10_plus_ssl_pca5,isotonic,0.32,-0.01807228915662651,-0.16938341601700924,0.0
signal_10_plus_ssl_pca5,isotonic,0.33,-0.022567883474195305,-0.1868368998381587,0.0
signal_10_plus_ssl_pca5,isotonic,0.33999999999999997,-0.02719970792259946,-0.20481927710843367,0.0
signal_10_plus_ssl_pca5,isotonic,0.35,-0.031974050046339186,-0.2233549582947173,0.0
signal_10_plus_ssl_pca5,isotonic,0.36,-0.03200301204819277,-0.2424698795180723,0.0
signal_10_plus_ssl_pca5,isotonic,0.37,-0.03633581946834959,-0.2621916236374068,0.0
signal_10_plus_ssl_pca5,isotonic,0.38,0.01962689467547609,-0.28254955305091334,0.0
signal_10_plus_ssl_pca5,isotonic,0.39,0.017874777799723476,-0.30357495555994474,0.0
signal_10_plus_ssl_pca5,isotonic,0.4,0.01606425702811244,-0.32530120481927716,0.0
signal_10_plus_ssl_pca5,isotonic,0.41,0.014192362671023084,-0.3477639371043495,0.0
signal_10_plus_ssl_pca5,isotonic,0.42,0.01225592023265476,-0.3710012463647694,0.0
signal_10_plus_ssl_pca5,isotonic,0.43,0.01025153244557176,-0.39505389980976535,0.0
signal_10_plus_ssl_pca5,isotonic,0.44,0.00774526678141136,-0.41996557659208267,0.0
signal_10_plus_ssl_pca5,isotonic,0.45,0.006571741511500549,-0.4457831325301205,0.0
signal_10_plus_ssl_pca5,isotonic,0.46,0.005354752342704151,-0.4725568942436412,0.0
signal_10_plus_ssl_pca5,isotonic,0.47,0.004091839054330533,-0.5003409865878609,0.0
signal_10_plus_ssl_pca5,isotonic,0.48,0.0027803521779425425,-0.5291936978683967,0.0
signal_10_plus_ssl_pca5,isotonic,0.49,0.0014174344436569813,-0.5591778880226789,0.0
signal_10_plus_ssl_pca5,isotonic,0.5,0.0,-0.5903614457831325,0.0
signal_10_plus_ssl_pca5,platt,0.05,0.16296766011414077,0.16296766011414077,0.0
signal_10_plus_ssl_pca5,platt,0.060000000000000005,0.15521661112535245,0.1540630607536529,0.0
signal_10_plus_ssl_pca5,platt,0.07,0.1467806710713823,0.14496696463272443,0.0
signal_10_plus_ssl_pca5,platt,0.08,0.13331587218438973,0.13567312729177577,0.0
signal_10_plus_ssl_pca5,platt,0.09,0.1267046206805243,0.12617502978948764,0.0
signal_10_plus_ssl_pca5,platt,0.1,0.10776439089692101,0.11646586345381525,0.0
signal_10_plus_ssl_pca5,platt,0.11,0.10410180046026803,0.10653851360498172,0.0
signal_10_plus_ssl_pca5,platt,0.12000000000000001,0.09967141292442495,0.09638554216867468,0.0
signal_10_plus_ssl_pca5,platt,0.13,0.0898075058856114,0.0859991690901537,0.0
signal_10_plus_ssl_pca5,platt,0.14,0.08153544410198935,0.07537125245166712,0.0
signal_10_plus_ssl_pca5,platt,0.15000000000000002,0.06307583274273562,0.06449326718639259,0.0
signal_10_plus_ssl_pca5,platt,0.16,0.0576592082616179,0.05335628227194489,0.0
signal_10_plus_ssl_pca5,platt,0.16999999999999998,0.03026564087676005,0.041950936275221395,0.0
signal_10_plus_ssl_pca5,platt,0.18,0.023949456362033522,0.03026741110784603,0.0
signal_10_plus_ssl_pca5,platt,0.19,0.02082403688829393,0.018295403837572527,0.0
signal_10_plus_ssl_pca5,platt,0.2,0.015060240963855429,0.00602409638554216,0.0
signal_10_plus_ssl_pca5,platt,0.21000000000000002,0.009531798078389483,-0.006557877077932012,0.0
signal_10_plus_ssl_pca5,platt,0.22000000000000003,0.008958912573370378,-0.019462465245597832,0.0
signal_10_plus_ssl_pca5,platt,0.22999999999999998,0.019636989516507594,-0.03270223752151463,0.0
signal_10_plus_ssl_pca5,platt,0.24,0.008877615726062146,-0.04629042485732404,0.0
signal_10_plus_ssl_pca5,platt,0.25,0.01807228915662651,-0.06024096385542166,0.0
signal_10_plus_ssl_pca5,platt,0.26,0.00602409638554216,-0.07456854444806255,0.0
signal_10_plus_ssl_pca5,platt,0.27,-0.004126093414754908,-0.0892886614952963,0.0
signal_10_plus_ssl_pca5,platt,0.28,-0.0013386880856760403,-0.104417670682731,0.0
signal_10_plus_ssl_pca5,platt,0.29,-0.00042423213982691055,-0.11997284914305112,0.0
signal_10_plus_ssl_pca5,platt,0.3,-0.010327022375215156,-0.13597246127366613,0.0
signal_10_plus_ssl_pca5,platt,0.31,-0.014929282346778427,-0.1524358302776323,0.0
signal_10_plus_ssl_pca5,platt,0.32,-0.010276399716513118,-0.16938341601700924,0.0
signal_10_plus_ssl_pca5,platt,0.33,-0.0020679733860816465,-0.1868368998381587,0.0
signal_10_plus_ssl_pca5,platt,0.33999999999999997,0.0012778386272362316,-0.20481927710843367,0.0
